director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Steve James,Neil Barofsky,Ti-Hua Chang,Jiayang Fan,Documentary,abacus: small enough to jail,Neil Barofsky Ti-Hua Chang Jiayang Fan Steve James Documentary
Michael Bay,Mark Wahlberg,Josh Duhamel,Laura Haddock,Action Sci-Fi Thriller Adventure,transformers: the last knight,Mark Wahlberg Josh Duhamel Laura Haddock Michael Bay Action Sci-Fi Thriller Adventure
Jonathan Teplitzky,Brian Cox,Miranda Richardson,John Slattery,Drama Thriller War,churchill,Brian Cox Miranda Richardson John Slattery Jonathan Teplitzky Drama Thriller War
Kabir Khan,Salman Khan,Zhu Zhu,Sohail Khan,Drama History War,tubelight,Salman Khan Zhu Zhu Sohail Khan Kabir Khan Drama History War
Ronnie Thompson,Matthew Goode,Joely Richardson,Larry Lamb,Crime,the hatton garden job,Matthew Goode Joely Richardson Larry Lamb Ronnie Thompson Crime
Joel Hopkins,Diane Keaton,Brendan Gleeson,James Norton,Romance Comedy,hampstead,Diane Keaton Brendan Gleeson James Norton Joel Hopkins Romance Comedy
Minhal Baig,Kyle Allen,Isabelle Fuhrman,Justin Chatwin,Drama Romance,1 night,Kyle Allen Isabelle Fuhrman Justin Chatwin Minhal Baig Drama Romance
Michael John Warren Alex Timbers,Nick Kroll,John Mulaney,Steve Martin,Comedy,"oh, hello: on broadway",Nick Kroll John Mulaney Steve Martin Michael John Warren Alex Timbers Comedy
Douglas Barr,Courtney Thorne-Smith,James Tupper,Adam DiMarco,Mystery,site unseen: an emma fielding mystery,Courtney Thorne-Smith James Tupper Adam DiMarco Douglas Barr Mystery
Phil Guidry Simon Herbert David Whelan,Monica Davis,Edward L. Green,Patrick Pedraza,Horror Mystery,savageland,Monica Davis Edward L. Green Patrick Pedraza Phil Guidry Simon Herbert David Whelan Horror Mystery
Léa Mysius,Noée Abita,Laure Calamy,Juan Cano,Drama,ava,Noée Abita Laure Calamy Juan Cano Léa Mysius Drama
Brent Bonacorso,Bella Thorne,Halston Sage,Taylor John Smith,Thriller Romance Drama,you get me,Bella Thorne Halston Sage Taylor John Smith Brent Bonacorso Thriller Romance Drama
John Shea,Eric Dane,Natalie Zea,Amy Madigan,Thriller,grey lady,Eric Dane Natalie Zea Amy Madigan John Shea Thriller
Joshua Safdie Ben Safdie,Robert Pattinson,Jennifer Jason Leigh,Ben Safdie,Drama Thriller Crime,good time,Robert Pattinson Jennifer Jason Leigh Ben Safdie Joshua Safdie Ben Safdie Drama Thriller Crime
Jason Flemyng,Charlie Cox,Tony Curran,Mackenzie Crook,Action Comedy Horror,eat locals,Charlie Cox Tony Curran Mackenzie Crook Jason Flemyng Action Comedy Horror
Marc Waltman,Sanne Langelaar,Fockeline Ouwerkerk,Imanuelle Grives,Romance Drama,tuintje in mijn hart,Sanne Langelaar Fockeline Ouwerkerk Imanuelle Grives Marc Waltman Romance Drama
Víctor García León,Santiago Alverú,Pepe Ocio,Alicia Rubio,Comedy,selfie,Santiago Alverú Pepe Ocio Alicia Rubio Víctor García León Comedy
Han Han,Eddie Peng,Deng Chao,Zhao Liying,Comedy Drama,duckweed,Eddie Peng Deng Chao Zhao Liying Han Han Comedy Drama
K. V. Anand,Vijay Sethupathi,Madonna Sebastian,T. Rajendar,Thriller Drama,kavan,Vijay Sethupathi Madonna Sebastian T. Rajendar K. V. Anand Thriller Drama
Andrew J. Cohen,Amy Poehler,Will Ferrell,Allison Tolman,Comedy,the house,Amy Poehler Will Ferrell Allison Tolman Andrew J. Cohen Comedy
Laurent Bouzereau,Guillermo del Toro,Steven Spielberg,Paul Greengrass,War Documentary,five came back,Guillermo del Toro Steven Spielberg Paul Greengrass Laurent Bouzereau War Documentary
Bailey Kobe,Julie McNiven,Shaun Sipos,Jessica Camacho,Romance Action Adventure Comedy Drama,the babymoon,Julie McNiven Shaun Sipos Jessica Camacho Bailey Kobe Romance Action Adventure Comedy Drama
Greg Barker,Jason Amerine,George W. Bush,Mark Nutsch,Documentary,legion of brothers,Jason Amerine George W. Bush Mark Nutsch Greg Barker Documentary
Carla Simón,Laia Artigas,Bruna Cusí,David Verdaguer,Drama Family,summer 1993,Laia Artigas Bruna Cusí David Verdaguer Carla Simón Drama Family
Volker Schlöndorff,Stellan Skarsgård,Nina Hoss,Bronagh Gallagher,Drama,return to montauk,Stellan Skarsgård Nina Hoss Bronagh Gallagher Volker Schlöndorff Drama
Philippe Falardeau,Liev Schreiber,Naomi Watts,Elisabeth Moss,Drama,chuck,Liev Schreiber Naomi Watts Elisabeth Moss Philippe Falardeau Drama
Paul Currie,Michiel Huisman,Teresa Palmer,Sam Reid,Drama Thriller,2:22,Michiel Huisman Teresa Palmer Sam Reid Paul Currie Drama Thriller
Christian Duguay,Dorian Le Clech,Batyste Fleurial,Patrick Bruel,Drama,a bag of marbles,Dorian Le Clech Batyste Fleurial Patrick Bruel Christian Duguay Drama
Brad Epstein,Alex Meneses,Faizon Love,Russell Peters,Comedy,ripped,Alex Meneses Faizon Love Russell Peters Brad Epstein Comedy
Neill Blomkamp,Steve Boyle,Nic Rhind,Robert Hobbs,Action Sci-Fi War,firebase,Steve Boyle Nic Rhind Robert Hobbs Neill Blomkamp Action Sci-Fi War
Jeff Orlowski,Andrew Ackerman,Pim Bongaerts,Neal Cantin,Documentary,chasing coral,Andrew Ackerman Pim Bongaerts Neal Cantin Jeff Orlowski Documentary
Alexandre O. Philippe,Guillermo del Toro,Peter Bogdanovich,Karyn Kusama,Documentary,78/52,Guillermo del Toro Peter Bogdanovich Karyn Kusama Alexandre O. Philippe Documentary
Kip Andersen Keegan Kuhn,Kip Andersen,Larry Baldwin,Neal Barnard,Documentary,what the health,Kip Andersen Larry Baldwin Neal Barnard Kip Andersen Keegan Kuhn Documentary
Joe Miale,Lee Pace,Bérénice Marlohe,Jason Flemyng,Sci-Fi,revolt,Lee Pace Bérénice Marlohe Jason Flemyng Joe Miale Sci-Fi
Timothy Woodward Jr.,Luke Hemsworth,Trace Adkins,Bruce Dern,Western,hickok,Luke Hemsworth Trace Adkins Bruce Dern Timothy Woodward Jr. Western
Joshua Tunick,Anthony Rapp,Alona Tal,Alyson Hannigan,Drama,do you take this man,Anthony Rapp Alona Tal Alyson Hannigan Joshua Tunick Drama
Nikolaj Arcel,Idris Elba,Matthew McConaughey,Tom Taylor,Action Western Sci-Fi Fantasy Horror,the dark tower,Idris Elba Matthew McConaughey Tom Taylor Nikolaj Arcel Action Western Sci-Fi Fantasy Horror
300ml,Selton Mello,Ralph Ineson,Seu Jorge,Drama,soundtrack,Selton Mello Ralph Ineson Seu Jorge 300ml Drama
Mohammad Hossein Mahdavian,Mehrdad Sedighian,Babak Hamidian,Javad Ezati,Action Crime History,midday event,Mehrdad Sedighian Babak Hamidian Javad Ezati Mohammad Hossein Mahdavian Action Crime History
Jonathan Baker,Nicolas Cage,Gina Gershon,Nicky Whelan,Thriller Drama,inconceivable,Nicolas Cage Gina Gershon Nicky Whelan Jonathan Baker Thriller Drama
Alain Desrochers,Patrick Huard,Colm Feore,Erik Knudsen,Crime Comedy Action,bon cop bad cop 2,Patrick Huard Colm Feore Erik Knudsen Alain Desrochers Crime Comedy Action
Alain Desrochers,Antonio Banderas,Ben Kingsley,Liam McIntyre,Action,security,Antonio Banderas Ben Kingsley Liam McIntyre Alain Desrochers Action
Antonio Negret,Scott Eastwood,Freddie Thorp,Ana de Armas,Thriller Action,overdrive,Scott Eastwood Freddie Thorp Ana de Armas Antonio Negret Thriller Action
Dan Harris,Liam James,Sarah Steele,Austin P. McKenzie,Comedy Drama,speech & debate,Liam James Sarah Steele Austin P. McKenzie Dan Harris Comedy Drama
Jake Szymanski,Orlando Bloom,Andy Samberg,John Cena,Comedy TV Movie,tour de pharmacy,Orlando Bloom Andy Samberg John Cena Jake Szymanski Comedy TV Movie
Wayne Blair,Abigail Breslin,Colt Prattes,Sarah Hyland,Music Drama Romance TV Movie,dirty dancing,Abigail Breslin Colt Prattes Sarah Hyland Wayne Blair Music Drama Romance TV Movie
Clay Staub,Milo Ventimiglia,Bridget Regan,Amanda Schull,Sci-Fi Thriller,devil's gate,Milo Ventimiglia Bridget Regan Amanda Schull Clay Staub Sci-Fi Thriller
Molly Smith Maurice Smith,Karolina Antosik,Amelie Leroy,Tessa McGinn,Fantasy Drama,abduction,Karolina Antosik Amelie Leroy Tessa McGinn Molly Smith Maurice Smith Fantasy Drama
Vanessa Gould,William McDonald,Bruce Weber,Margalit Fox,Documentary,obit,William McDonald Bruce Weber Margalit Fox Vanessa Gould Documentary
Craig Thompson,William Shatner,Neil deGrasse Tyson,Chris Hadfield,Documentary,the truth is in the stars,William Shatner Neil deGrasse Tyson Chris Hadfield Craig Thompson Documentary
Anthony Leondis,T.J. Miller,James Corden,Anna Faris,Comedy Family Animation,the emoji movie,T.J. Miller James Corden Anna Faris Anthony Leondis Comedy Family Animation
Abel Vang Burlee Vang,Saxon Sharbino,Bonnie Morgan,Brandon Soo Hoo,Horror Thriller,bedeviled,Saxon Sharbino Bonnie Morgan Brandon Soo Hoo Abel Vang Burlee Vang Horror Thriller
Ernie Barbarash,Adam Rayner,Eliza Dushku,Ian Ogilvy,Action Adventure Crime,the saint,Adam Rayner Eliza Dushku Ian Ogilvy Ernie Barbarash Action Adventure Crime
Riccardo Milani,Paola Cortellesi,Antonio Albanese,Carlo Buccirosso,Comedy,mom or dad?,Paola Cortellesi Antonio Albanese Carlo Buccirosso Riccardo Milani Comedy
John Jencks,Roger Allam,Matthew Modine,Tim McInnerny,Comedy,the hippopotamus,Roger Allam Matthew Modine Tim McInnerny John Jencks Comedy
Taylor Sheridan,Jeremy Renner,Elizabeth Olsen,Gil Birmingham,Action Crime Mystery Thriller,wind river,Jeremy Renner Elizabeth Olsen Gil Birmingham Taylor Sheridan Action Crime Mystery Thriller
Tarik Saleh,Fares Fares,Mari Malek,Mohamed Yousry,Thriller Drama,the nile hilton incident,Fares Fares Mari Malek Mohamed Yousry Tarik Saleh Thriller Drama
Roman Volobuev,Svetlana Ustinova,Anna Chipovskaya,Yevgeni Tsyganov,Comedy Crime,blockbuster,Svetlana Ustinova Anna Chipovskaya Yevgeni Tsyganov Roman Volobuev Comedy Crime
Ric Roman Waugh,Nikolaj Coster-Waldau,Jon Bernthal,Lake Bell,Drama Crime Thriller,shot caller,Nikolaj Coster-Waldau Jon Bernthal Lake Bell Ric Roman Waugh Drama Crime Thriller
Tony Giglio,Adrianne Palicki,Michael Jai White,Ty Olsson,Action Crime Thriller,s.w.a.t.: under siege,Adrianne Palicki Michael Jai White Ty Olsson Tony Giglio Action Crime Thriller
Manuk Depoyan,Arsen Shavlyuk,Vasyl Virastyuk,Ruslana Pysanka,Family Comedy Animation Fantasy Adventure,the dragon spell,Arsen Shavlyuk Vasyl Virastyuk Ruslana Pysanka Manuk Depoyan Family Comedy Animation Fantasy Adventure
John R. Leonetti,Joey King,Ryan Phillippe,Sherilyn Fenn,Fantasy Horror Thriller,wish upon,Joey King Ryan Phillippe Sherilyn Fenn John R. Leonetti Fantasy Horror Thriller
Malcolm D. Lee,Regina Hall,Queen Latifah,Jada Pinkett Smith,Comedy,girls trip,Regina Hall Queen Latifah Jada Pinkett Smith Malcolm D. Lee Comedy
Gillian Robespierre,Jenny Slate,Edie Falco,Abby Quinn,Comedy,landline,Jenny Slate Edie Falco Abby Quinn Gillian Robespierre Comedy
Kathryn Bigelow,John Boyega,Will Poulter,Algee Smith,Thriller Crime Drama History,detroit,John Boyega Will Poulter Algee Smith Kathryn Bigelow Thriller Crime Drama History
Kogonada,John Cho,Haley Lu Richardson,Parker Posey,Drama,columbus,John Cho Haley Lu Richardson Parker Posey Kogonada Drama
Heber Cannon Marston Sawyers Ian Wittenber Mariah Moore,Matt Fraser,Ben Smith,Sara Sigmundsdottir,Documentary,fittest on earth: a decade of fitness,Matt Fraser Ben Smith Sara Sigmundsdottir Heber Cannon Marston Sawyers Ian Wittenber Mariah Moore Documentary
Emilis Velyvis,Inga Jankauskaitė,Mindaugas Papinigis,Ramūnas Rudokas,Thriller,zero 3,Inga Jankauskaitė Mindaugas Papinigis Ramūnas Rudokas Emilis Velyvis Thriller
Tommy Bertelsen,Troian Bellisario,Tom Felton,Ben Winchell,Drama,feed,Troian Bellisario Tom Felton Ben Winchell Tommy Bertelsen Drama
